cIdx,spList,medoid,prior,purity
0,"[(1,Rp),(1948,Rp)]",1,Rp,1.0
1,"[(2,Rp),(1268,Rp)]",2,Rp,1.0
2,"[(3,Rp),(266,Rp),(1094,Rp),(1463,Rp)]",1463,Rp,1.0
3,"[(4,Lp),(1466,Lp),(1919,Rp)]",4,Lp,0.6666667
4,"[(5,Lp),(1109,Rp)]",5,Lp,0.5
5,"[(6,Rp),(1038,Rp),(1062,Rp),(1653,Rp)]",1038,Rp,1.0
6,"[(7,Rp),(1068,Rp),(1450,Rp),(1614,Rp),(1616,Rp),(1654,Rp),(1655,Noth),(1774,Rp)]",1655,Rp,0.875
7,"[(8,Lp)]",8,Lp,1.0
8,"[(9,Noth),(10,Noth),(516,Rp)]",9,Noth,0.6666667
9,"[(1682,Noth),(1795,Rp)]",1795,Rp,0.5
10,"[(11,Rp),(1255,Rp)]",11,Rp,1.0
11,"[(12,Rp)]",12,Rp,1.0
12,"[(13,Rp),(861,Noth)]",13,Rp,0.5
13,"[(14,Noth)]",14,Noth,1.0
14,"[(15,Rp),(1233,Rp)]",15,Rp,1.0
15,"[(16,Rp)]",16,Rp,1.0
16,"[(17,Rp)]",17,Rp,1.0
17,"[(18,Noth)]",18,Noth,1.0
18,"[(19,Rp)]",19,Rp,1.0
19,"[(20,Rp)]",20,Rp,1.0
20,"[(21,Rp)]",21,Rp,1.0
21,"[(1210,Rp),(1621,Lp),(1979,Rp)]",1621,Rp,0.6666667
22,"[(23,Lp),(943,Rp),(1046,Noth),(1047,Rp),(1054,Lp),(1065,Lp),(1066,Lp),(1883,Lp),(1972,Lp)]",1047,Lp,0.6666667
23,"[(24,Lp),(512,Lp),(1069,Rp),(1260,Rp),(1261,Lp),(1262,Lp),(1263,Lp),(1473,Lp),(1569,Lp),(1885,Lp),(1973,Lp)]",24,Lp,0.8181818
24,"[(25,Rp),(1086,Rp),(1378,Rp)]",25,Rp,1.0
25,"[(26,Rp),(1266,Lp),(1517,Lp),(1974,Rp)]",26,Lp,0.5
26,"[(27,Noth),(971,Rp),(1192,Noth),(1787,Rp),(1925,Rp)]",27,Rp,0.6
27,"[(28,Lp),(1945,Lp)]",28,Lp,1.0
28,"[(29,Lp),(1380,Lp),(1382,Lp),(1384,Lp),(1412,Rp),(1413,Noth),(1416,Noth)]",1382,Lp,0.5714286
29,"[(30,Lp),(1383,Lp),(1385,Lp)]",1385,Lp,1.0
30,"[(31,Noth),(33,Noth),(698,Noth),(845,Noth),(1093,Noth),(1394,Noth),(1396,Noth),(1398,Noth)]",1396,Noth,1.0
31,"[(843,Rp),(849,Rp),(1395,Noth),(1397,Rp),(1399,Rp)]",1399,Rp,0.8
32,"[(868,Noth),(1026,Lp),(1161,Lp),(1168,Noth),(1172,Noth),(1174,Noth),(1177,Noth),(1201,Noth)]",1168,Noth,0.75
33,"[(32,Noth),(34,Rp)]",34,Rp,0.5
34,"[(35,Rp),(1386,Rp),(1388,Rp),(1390,Noth)]",1388,Rp,0.75
35,"[(36,Noth),(1387,Noth),(1391,Noth)]",1391,Noth,1.0
36,"[(37,Rp),(833,Rp),(1400,Rp)]",1400,Rp,1.0
37,"[(38,Noth),(1389,Noth),(1401,Noth),(1403,Noth),(1470,Noth)]",1401,Noth,1.0
38,"[(39,Noth),(1402,Noth),(1404,Noth)]",1404,Noth,1.0
39,"[(40,Rp),(834,Rp),(1405,Rp)]",1405,Rp,1.0
40,"[(41,Lp),(700,Lp),(1392,Noth),(1406,Lp),(1408,Lp)]",1406,Lp,0.8
41,"[(42,Lp),(1393,Noth),(1407,Lp),(1409,Lp)]",1407,Lp,0.75
42,"[(827,Lp),(1292,Lp),(1417,Lp),(1549,Lp)]",1549,Lp,1.0
43,"[(44,Rp)]",44,Rp,1.0
44,"[(45,Lp),(380,Rp)]",45,Lp,0.5
45,"[(46,Lp),(1558,Lp),(1980,Lp)]",1980,Lp,1.0
46,"[(47,Lp)]",47,Lp,1.0
47,"[(43,Lp),(48,Lp),(1080,Lp),(1362,Noth),(1978,Lp)]",1080,Lp,0.8
48,"[(49,Lp)]",49,Lp,1.0
49,"[(50,Noth)]",50,Noth,1.0
50,"[(51,Noth),(52,Noth),(1084,Noth),(1117,Noth),(1458,Noth),(1559,Noth),(1981,Noth)]",1084,Noth,1.0
