serial_num,raw_sent
1, 丁伟/nh 是/vl 七二/m 届/q 学生/n ，/w 进/v 店/n 后/nd ，/w 好逸恶劳/i ，/w 利用/v 营业员/n 职务/n 方便/n ，/w 贪污/v 现金/n 一百六十/m 多元/n ，/w 曾/d 受到/v 延长/v 艺/n 徒/d 期/nt 一/m 年/nt 的/u 处分/n 。/w 
2, 以色列/ns 土/n 兵/n １５/m 日/nt 把/p ４０００/m 名/q 学生/n 教师/n 封锁/v 在/p 约旦河/ns 西岸/nl 纳布卢斯/ns 最大/a 的/u 一/m 所/q 大学/n 里/nd 。/w 
3, 校方/n 说/v ，/w 军方/n 不/d 允许/v 向/p 校内/nl 的/u 学生/n 送/v 食品/n ，/w 也/d 不/d 允许/v 教师/n 离校/v 。/w 
4," 在/p 开展/v ""/w 文明/a 班级/n ""/w 评比/v 活动/n 中/nd ，/w 许多/a 学校/n 紧密/a 配合/v 《/w 中学生/n 守则/n 》/w 教育/v ，/w 把/p 评比/v 活动/n 作为/v 对/p 学生/n 进行/v 道德/n 品质/n 教育/v 的/u 重要/a 措施/n 。/w ""/w "
5, 宜山中学/ni 过去/nt 是/vl 一个/mq 学生/n 犯罪/v 人数/n 较/d 多/a 、/w 教学/v 秩序/n 较/d 乱/a 的/u 学校/n 。/w 
6," 从/p 去年/nt 下半年/nt 开始/v 到/v 现在/nt ，/w 全校/n 没有/v 学生/n 违法/v 犯罪/v ，/w 好人好事/i 大量/a 涌现/v ，/w 这个/r 学校/n 还/d 被/p 评为/v 区/n 卫生/n 先进/a 单位/n ，/w 并/c 获/v 全/a 区/n 广播操/n ""/w 流动/v 红旗/n ""/w 。/w "
7, 一九八五/m 年/nt 普通/a 高等学校/n 招生/v 数/n 达/v 六十万/m 人/n 以上/nd ，/w 在校/v 学生/n 可达/v 一百六十八万/m 人/n ，/w 全国/n 招收/v 研究生/n 达/v 四点四万/m 人/n ，/w 五/m 年/nt 毕业/v 的/u 大学生/n 可达/v 一百五十三点五万/m 人/n ，/w 这/r 四/m 项/q 指标/n 都/d 将/d 超额/v 完成/v 计划/n 。/w 
8, 一九八五/m 年/nt 专科/n 学生/n 在/p 大学生/n 中/nd 的/u 比重/n 由/p 一九八零/m 年/nt 的/u 百/m 分之/u 二十四点六/m 提高/v 到/v 百/m 分之/u 二十九/m 。/w 
9," 预计/v ，/w 一九八五/m 年/nt 中等/a 专业/n 学校/n 招生/v 数/n 可达/v 六十四点五万/m 人/n ，/w 在校/v 学生/n 一百五十三点七万/m 人/n ，/w 将/d 分别/d 超过/v ""/w 六五/j ""/w 计划/n 规定/v 的/u 百/m 分之/u 二十九/m 和/c 百/m 分之/u 二十三/m 。/w "
10, 一九八四/m 年/nt ，/w 成人/n 高等/a 、/w 中等/a 和/c 初等/a 学校/n 在校/v 学生/n 已/d 达/v 一千六百六十九点三万/m 人/n 。/w 
11," 如/v 四季春食品店/ni 在/p 做好/v 日常/a 营业/v 外/nd ，/w 坚持/v 每月/nt 为/p 上海第三福利分院/ni 三百/m 多/m 个/q 鳏寡/n 孤独/a 者/k 和/c 宝山聋哑学校/ni 五十/m 多/m 名/q 学生/n 送货上门/v ，/w 被/p 誉为/v ""/w 信得过/v ""/w 商店/n 。/w "
12, 徐/nhf 被/p 打/v 也/d 不甘/v 罢休/v ，/w 回到/v 家中/nl ，/w 叫/p 弟弟/n 徐荣林/nh （/w 在校/v 学生/n ）/w 把住/v 在/p 附近/n 的/u 待业青年/n 钟海明/nh 喊/v 来/vd ，/w 此时/nt 徐荣富/nh 妹妹/n 的/u 男朋友/n 上港三区/ns 青工/n 朱驹平/nh 也/d 在/v 。/w 
13, 河北/ns 营/n 的/u 一百六十/m 名/q 营员/n 从/p 全省/n 新高/n 二/m 年级/n 优秀/a 学生/n 中/nd 选拔/v 。/w 
14, 分配/v 学生/n 还是/d 分配/v 家长/n 
15," 最近/nt ，/w 一/m 位/q 负责/v 大学/n 毕业生/n 分配/v 工作/n 的/u 同志/n 十分/d 感慨/a 地/u 谈到/v ：/w ""/w 在/p 毕业生/n 分配/v 中/nd ，/w 打招呼/v 、/w 递/v 条子/n ，/w 要求/v 改变/v 分配/v 计划/n ，/w 出面/v 找上门/v 来/u 的/u 多半/m 是/vl 学生/n 家长/n ，/w 这些/r 人/n 比/p 青年/n 学生/n 的/u 思想/n 工作/n 难/a 做/v 多/a 了/u ，/w 分配/v 学生/n 简直/d 成/v 了/u 分配/v 家长/n 。/w ""/w "
16," 为什么/r ""/w 分配/v 学生/n ""/w 变成/v ""/w 分配/v 家长/n ""/w 了/u 呢/u ？/w "
17, 其实/d 多数/n 青年/n 学生/n 是/vl 通情达理/n 的/u ，/w 个别/a 人/n 即使/c 有些/m 思想/n 疙瘩/n ，/w 一经/d 说服/v 动员/v ，/w 也/d 就/d 不再/d 登门/v 了/u 。/w 
18, 希望/v 这些/r 同志/n 严格/a 要求/v 自己/r ，/w 把/p 党/n 的/u 好/a 传统/n 传给/v 下一代/n ，/w 和/p 毕业生/n 分配/v 部门/n 一起/d 做好/v 学生/n 的/u 思想/n 工作/n ，/w 使/v 毕业生/n 愉快/a 地/u 服从/v 国家/n 分配/v ，/w 到/v 祖国/n 最/d 需要/v 的/u 地方/n 去/v 。/w 
19, 九月/nt 九/m 日/nt 讯/n 著名/a 京剧/n 演员/n 马长礼/nh 收/v 石家庄/ns 地区/n 河北梆子剧团/ni 演员/n 雷保春/nh 为/vl 学生/n ，/w 今天/nt 在/p 河北宾馆/ni 举行/v 收/v 学生/n 典礼/n 仪式/n 。/w 
